Survey,Start (UTC),Mean Lat,Mean Lon,Project,MARLIN,MARLIN UUID,Averaging Period (sec),U Ship (m/sec),V Ship (m/sec),Bottom Depth,Depth,U (m/sec),V (m/sec),Avg QC,Bin Attendance %
SS199802,1998-03-10 03:20:00,-43.591,147.338,Sub Antarctic Front Dynamics Experiment (SAFDE) 1997-1998,4909,89931474-fd75-420d-96de-659d04e99b52,1200,-1.78,-5.52,70,16.8,-.26,-.22,13.5,39
SS199802,1998-03-10 03:40:00,-43.65,147.315,Sub Antarctic Front Dynamics Experiment (SAFDE) 1997-1998,4909,89931474-fd75-420d-96de-659d04e99b52,1200,-1.49,-5.4,93,16.8,-.13,-.26,12.8,56
SS199802,1998-03-10 03:40:00,-43.65,147.315,Sub Antarctic Front Dynamics Experiment (SAFDE) 1997-1998,4909,89931474-fd75-420d-96de-659d04e99b52,1200,-1.49,-5.4,93,24.8,-.16,-.38,13.7,39
SS199802,1998-03-10 04:00:00,-43.704,147.293,Sub Antarctic Front Dynamics Experiment (SAFDE) 1997-1998,4909,89931474-fd75-420d-96de-659d04e99b52,1200,-1.63,-5.35,111,16.8,-.04,-.14,16.1,54
SS199802,1998-03-10 04:00:00,-43.704,147.293,Sub Antarctic Front Dynamics Experiment (SAFDE) 1997-1998,4909,89931474-fd75-420d-96de-659d04e99b52,1200,-1.63,-5.35,111,24.8,-.07,-.16,12,48
SS199802,1998-03-10 04:00:00,-43.704,147.293,Sub Antarctic Front Dynamics Experiment (SAFDE) 1997-1998,4909,89931474-fd75-420d-96de-659d04e99b52,1200,-1.63,-5.35,111,32.8,.01,-.18,12.7,35
SS199802,1998-03-10 04:20:00,-43.761,147.266,Sub Antarctic Front Dynamics Experiment (SAFDE) 1997-1998,4909,89931474-fd75-420d-96de-659d04e99b52,1200,-1.94,-5.08,131,16.8,-.17,-.02,11.8,48
SS199802,1998-03-10 04:20:00,-43.761,147.266,Sub Antarctic Front Dynamics Experiment (SAFDE) 1997-1998,4909,89931474-fd75-420d-96de-659d04e99b52,1200,-1.94,-5.08,131,24.8,-.17,-.08,10.3,44
SS199802,1998-03-10 04:20:00,-43.761,147.266,Sub Antarctic Front Dynamics Experiment (SAFDE) 1997-1998,4909,89931474-fd75-420d-96de-659d04e99b52,1200,-1.94,-5.08,131,32.8,-.17,-.07,10.1,43
SS199802,1998-03-10 04:20:00,-43.761,147.266,Sub Antarctic Front Dynamics Experiment (SAFDE) 1997-1998,4909,89931474-fd75-420d-96de-659d04e99b52,1200,-1.94,-5.08,131,40.8,-.16,-.08,9,42
SS199802,1998-03-10 04:20:00,-43.761,147.266,Sub Antarctic Front Dynamics Experiment (SAFDE) 1997-1998,4909,89931474-fd75-420d-96de-659d04e99b52,1200,-1.94,-5.08,131,48.8,-.15,-.1,8.9,41
SS199802,1998-03-10 04:20:00,-43.761,147.266,Sub Antarctic Front Dynamics Experiment (SAFDE) 1997-1998,4909,89931474-fd75-420d-96de-659d04e99b52,1200,-1.94,-5.08,131,56.8,-.16,-.1,8.6,41
SS199802,1998-03-10 04:20:00,-43.761,147.266,Sub Antarctic Front Dynamics Experiment (SAFDE) 1997-1998,4909,89931474-fd75-420d-96de-659d04e99b52,1200,-1.94,-5.08,131,64.8,-.17,-.11,10,38
SS199802,1998-03-10 04:20:00,-43.761,147.266,Sub Antarctic Front Dynamics Experiment (SAFDE) 1997-1998,4909,89931474-fd75-420d-96de-659d04e99b52,1200,-1.94,-5.08,131,72.8,-.17,-.07,8.5,39
SS199802,1998-03-10 04:20:00,-43.761,147.266,Sub Antarctic Front Dynamics Experiment (SAFDE) 1997-1998,4909,89931474-fd75-420d-96de-659d04e99b52,1200,-1.94,-5.08,131,80.8,-.18,-.07,10.7,36
SS199802,1998-03-10 04:20:00,-43.761,147.266,Sub Antarctic Front Dynamics Experiment (SAFDE) 1997-1998,4909,89931474-fd75-420d-96de-659d04e99b52,1200,-1.94,-5.08,131,88.8,-.2,-.09,11.4,38
SS199802,1998-03-10 04:20:00,-43.761,147.266,Sub Antarctic Front Dynamics Experiment (SAFDE) 1997-1998,4909,89931474-fd75-420d-96de-659d04e99b52,1200,-1.94,-5.08,131,96.8,-.17,-.09,9.5,36
SS199802,1998-03-10 04:40:00,-43.818,147.235,Sub Antarctic Front Dynamics Experiment (SAFDE) 1997-1998,4909,89931474-fd75-420d-96de-659d04e99b52,1200,-2.08,-5.06,134,16.8,-.18,.02,10.5,84
SS199802,1998-03-10 04:40:00,-43.818,147.235,Sub Antarctic Front Dynamics Experiment (SAFDE) 1997-1998,4909,89931474-fd75-420d-96de-659d04e99b52,1200,-2.08,-5.06,134,24.8,-.18,-.03,9.8,80
SS199802,1998-03-10 04:40:00,-43.818,147.235,Sub Antarctic Front Dynamics Experiment (SAFDE) 1997-1998,4909,89931474-fd75-420d-96de-659d04e99b52,1200,-2.08,-5.06,134,32.8,-.14,-.05,9.7,79
SS199802,1998-03-10 04:40:00,-43.818,147.235,Sub Antarctic Front Dynamics Experiment (SAFDE) 1997-1998,4909,89931474-fd75-420d-96de-659d04e99b52,1200,-2.08,-5.06,134,40.8,-.09,-.03,7.8,76
SS199802,1998-03-10 04:40:00,-43.818,147.235,Sub Antarctic Front Dynamics Experiment (SAFDE) 1997-1998,4909,89931474-fd75-420d-96de-659d04e99b52,1200,-2.08,-5.06,134,48.8,-.09,-.03,7.9,75
SS199802,1998-03-10 04:40:00,-43.818,147.235,Sub Antarctic Front Dynamics Experiment (SAFDE) 1997-1998,4909,89931474-fd75-420d-96de-659d04e99b52,1200,-2.08,-5.06,134,56.8,-.11,-.04,11.4,74
SS199802,1998-03-10 04:40:00,-43.818,147.235,Sub Antarctic Front Dynamics Experiment (SAFDE) 1997-1998,4909,89931474-fd75-420d-96de-659d04e99b52,1200,-2.08,-5.06,134,64.8,-.09,-.02,11.7,68
SS199802,1998-03-10 04:40:00,-43.818,147.235,Sub Antarctic Front Dynamics Experiment (SAFDE) 1997-1998,4909,89931474-fd75-420d-96de-659d04e99b52,1200,-2.08,-5.06,134,72.8,-.11,-.01,10,68
SS199802,1998-03-10 04:40:00,-43.818,147.235,Sub Antarctic Front Dynamics Experiment (SAFDE) 1997-1998,4909,89931474-fd75-420d-96de-659d04e99b52,1200,-2.08,-5.06,134,80.8,-.1,0,12.5,64
SS199802,1998-03-10 04:40:00,-43.818,147.235,Sub Antarctic Front Dynamics Experiment (SAFDE) 1997-1998,4909,89931474-fd75-420d-96de-659d04e99b52,1200,-2.08,-5.06,134,88.8,-.1,.02,9.5,59
SS199802,1998-03-10 04:40:00,-43.818,147.235,Sub Antarctic Front Dynamics Experiment (SAFDE) 1997-1998,4909,89931474-fd75-420d-96de-659d04e99b52,1200,-2.08,-5.06,134,96.8,-.1,.02,11.6,65
SS199802,1998-03-10 04:40:00,-43.818,147.235,Sub Antarctic Front Dynamics Experiment (SAFDE) 1997-1998,4909,89931474-fd75-420d-96de-659d04e99b52,1200,-2.08,-5.06,134,104.8,-.09,.06,14.7,46
SS199802,1998-03-10 05:00:00,-43.872,147.188,Sub Antarctic Front Dynamics Experiment (SAFDE) 1997-1998,4909,89931474-fd75-420d-96de-659d04e99b52,1200,-3.41,-2.9,148,16.8,-.13,.01,13.3,53
SS199802,1998-03-10 05:00:00,-43.872,147.188,Sub Antarctic Front Dynamics Experiment (SAFDE) 1997-1998,4909,89931474-fd75-420d-96de-659d04e99b52,1200,-3.41,-2.9,148,24.8,-.16,-.05,8.5,52
SS199802,1998-03-10 05:00:00,-43.872,147.188,Sub Antarctic Front Dynamics Experiment (SAFDE) 1997-1998,4909,89931474-fd75-420d-96de-659d04e99b52,1200,-3.41,-2.9,148,32.8,-.09,-.08,8.5,48
SS199802,1998-03-10 05:00:00,-43.872,147.188,Sub Antarctic Front Dynamics Experiment (SAFDE) 1997-1998,4909,89931474-fd75-420d-96de-659d04e99b52,1200,-3.41,-2.9,148,40.8,-.04,-.05,8,46
SS199802,1998-03-10 05:00:00,-43.872,147.188,Sub Antarctic Front Dynamics Experiment (SAFDE) 1997-1998,4909,89931474-fd75-420d-96de-659d04e99b52,1200,-3.41,-2.9,148,48.8,-.05,-.02,9,43
SS199802,1998-03-10 05:00:00,-43.872,147.188,Sub Antarctic Front Dynamics Experiment (SAFDE) 1997-1998,4909,89931474-fd75-420d-96de-659d04e99b52,1200,-3.41,-2.9,148,56.8,-.07,-.02,9.2,43
SS199802,1998-03-10 05:00:00,-43.872,147.188,Sub Antarctic Front Dynamics Experiment (SAFDE) 1997-1998,4909,89931474-fd75-420d-96de-659d04e99b52,1200,-3.41,-2.9,148,64.8,-.07,-.06,10.4,42
SS199802,1998-03-10 05:00:00,-43.872,147.188,Sub Antarctic Front Dynamics Experiment (SAFDE) 1997-1998,4909,89931474-fd75-420d-96de-659d04e99b52,1200,-3.41,-2.9,148,72.8,-.08,-.05,10,32
SS199802,1998-03-10 05:00:00,-43.872,147.188,Sub Antarctic Front Dynamics Experiment (SAFDE) 1997-1998,4909,89931474-fd75-420d-96de-659d04e99b52,1200,-3.41,-2.9,148,80.8,-.04,-.01,7.5,40
SS199802,1998-03-10 05:00:00,-43.872,147.188,Sub Antarctic Front Dynamics Experiment (SAFDE) 1997-1998,4909,89931474-fd75-420d-96de-659d04e99b52,1200,-3.41,-2.9,148,88.8,-.05,-.02,7,41
SS199802,1998-03-10 05:00:00,-43.872,147.188,Sub Antarctic Front Dynamics Experiment (SAFDE) 1997-1998,4909,89931474-fd75-420d-96de-659d04e99b52,1200,-3.41,-2.9,148,96.8,-.05,-.01,9.3,39
SS199802,1998-03-10 05:00:00,-43.872,147.188,Sub Antarctic Front Dynamics Experiment (SAFDE) 1997-1998,4909,89931474-fd75-420d-96de-659d04e99b52,1200,-3.41,-2.9,148,104.8,-.05,-.03,10.5,39
SS199802,1998-03-10 05:00:00,-43.872,147.188,Sub Antarctic Front Dynamics Experiment (SAFDE) 1997-1998,4909,89931474-fd75-420d-96de-659d04e99b52,1200,-3.41,-2.9,148,112.8,-.06,-.04,9.6,39
SS199802,1998-03-10 05:20:00,-43.897,147.147,Sub Antarctic Front Dynamics Experiment (SAFDE) 1997-1998,4909,89931474-fd75-420d-96de-659d04e99b52,1200,-3.09,-2.9,147,16.8,-.03,-.03,13.9,82
SS199802,1998-03-10 05:20:00,-43.897,147.147,Sub Antarctic Front Dynamics Experiment (SAFDE) 1997-1998,4909,89931474-fd75-420d-96de-659d04e99b52,1200,-3.09,-2.9,147,24.8,-.06,-.09,11.2,88
